,gameId,playId,playDescription,quarter,possessionTeam,kickerId,returnerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,absoluteYardlineNumber,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,specialTeamsSafeties
60,2018090905,3524,S.Gostkowski kicks 66 yards from NE 35 to HOU -1. T.Ervin to HOU 31 for 32 yards (M.Slater; G.Grissom).,4,NE,30932.0,43408,NE,35,09:48:00,NP,NP,0,27,13,66.0,32.0,75,4.1,D,C,C,R,R,returner_tackled,NE 96,NE 18,8-0-2,NE 23; NE 32
62,2018090906,36,C.Catanzaro kicks 62 yards from TB 35 to NO 3. T.Lewis to NO 29 for 26 yards (F.Martino).,1,TB,41736.0,43948,TB,35,15:00:00,NP,NP,0,0,0,62.0,26.0,45,4.05,D,R,R,L,L,returner_tackled,Solo,TB 16,8-0-2,TB 23; TB 31
63,2018090906,256,W.Lutz kicks 62 yards from NO 35 to TB 3. S.Wilson to TB 32 for 29 yards (M.Gillislee).,1,NO,43689.0,46805,NO,35,11:41:00,NP,NP,0,7,0,62.0,29.0,75,4.06,D,C,C,C,C,returner_tackled,Solo,NO 25,8-0-2,NO 21; NO 43
69,2018090906,1694,"C.Catanzaro kicks 67 yards from TB 35 to NO -2. T.Lewis to NO 17 for 19 yards (J.Cichy). PENALTY on TB-J.Cichy, Low Block, 15 yards, enforced at NO 17.",2,TB,41736.0,43948,TB,35,04:42:00,LBL,TB 48,-15,17,24,67.0,19.0,75,3.97,D,R,R,C,C,returner_tackled,Solo,TB 48,8-0-2,TB 23; TB 31
78,2018090907,36,"A.Rosas kicks 63 yards from NYG 35 to JAX 2. J.Mickens to JAX 20 for 18 yards (N.Stupar, M.Thomas).",1,NYG,43937.0,44029,NYG,35,15:00:00,NP,NP,0,0,0,63.0,18.0,45,3.97,D,R,R,C,C,NYG 72,Solo,NYG 57,8-0-2,NYG 24; NYG 36
79,2018090907,311,"J.Lambo kicks 66 yards from JAX 35 to NYG -1. C.Latimer to NYG 14 for 15 yards (R.Harrison, T.Herndon).",1,JAX,43068.0,41285,JAX,35,10:12:00,NP,NP,0,0,3,66.0,15.0,75,4.08,D,C,C,C,C,returner_tackled,Solo,JAX 41,8-0-2,JAX 26; JAX 36
83,2018090907,1867,"A.Rosas kicks 65 yards from NYG 35 to JAX 0. J.Mickens to JAX 27 for 27 yards (A.Hamilton, R.Armstrong).",2,NYG,43937.0,44029,NYG,35,00:04:00,NP,NP,0,6,13,65.0,27.0,75,3.34,D,R,R,L,L,returner_tackled,NYG 55,NYG 30,8-0-2,NYG 24; NYG 36
88,2018090909,36,P.Dawson kicks 66 yards from ARI 35 to WAS -1. D.Johnson to WAS 23 for 24 yards (B.Benwikere).,1,ARI,23860.0,46329,ARI,35,15:00:00,NP,NP,0,0,0,66.0,24.0,45,3.96,D,C,C,C,C,returner_tackled,Solo,ARI 23,8-0-1,ARI 28; ARI 36
103,2018090912,855,C.Parkey kicks 65 yards from CHI 35 to GB 0. T.Montgomery pushed ob at GB 25 for 25 yards (A.Miller).,2,CHI,41688.0,42437,CHI,35,14:56:00,NP,NP,0,0,10,65.0,25.0,45,4.05,D,C,C,R,R,returner_tackled,Solo,CHI 17,8-0-2,CHI 31; CHI 39
104,2018090912,1762,C.Parkey kicks 60 yards from CHI 35 to GB 5. M.Valdes-Scantling to GB 26 for 21 yards (A.Amos).,2,CHI,41688.0,46243,CHI,35,00:39:00,NP,NP,0,0,17,60.0,21.0,45,3.82,D,C,C,C,L,CHI 15,Solo,CHI 38,8-0-2,CHI 31; CHI 38
106,2018090912,2162,"C.Parkey kicks 61 yards from CHI 35 to GB 4. T.Montgomery to GB 26 for 22 yards (D.Bush). PENALTY on CHI-D.Bush, Illegal Formation, 5 yards, enforced at GB 26.",3,CHI,41688.0,42437,CHI,35,09:14:00,ILF,CHI 26,-5,0,20,61.0,22.0,45,3.91,D,R,R,C,C,returner_tackled,CHI 84,CHI 26,8-0-2,CHI 31; CHI 38
111,2018090912,3600,M.Crosby kicks 65 yards from GB 35 to CHI 0. B.Cunningham to CHI 18 for 18 yards (J.Whitehead).,4,GB,32386.0,40249,GB,35,02:13:00,NP,NP,0,24,23,65.0,18.0,45,3.78,D,C,C,L,L,returner_tackled,Solo,GB 35,8-0-2,GB 23; GB 37
112,2018091000,36,S.Martin kicks 63 yards from DET 35 to NYJ 2. A.Roberts to NYJ 25 for 23 yards (Ch.Washington).,1,DET,40113.0,35527,DET,35,15:00:00,NP,NP,0,0,0,63.0,23.0,45,3.34,D,L,L,C,C,returner_tackled,Solo,DET 45,8-0-2,DET 24; DET 31
113,2018091000,98,"S.Martin kicks 64 yards from DET 35 to NYJ 1. A.Roberts to NYJ 23 for 22 yards (T.Tabor). PENALTY on NYJ-J.Wilcox, Offensive Holding, 10 yards, enforced at NYJ 23.",1,DET,40113.0,35527,DET,35,14:40:00,OH,NYJ 37,10,7,0,64.0,22.0,45,4.32,D,R,R,C,C,returner_tackled,Solo,DET 31,8-0-2,DET 24; DET 31
126,2018091001,298,M.Nugent kicks 66 yards from OAK 35 to LA -1. P.Cooper to LA 25 for 26 yards (M.Lee; K.Hatcher).,1,OAK,29874.0,43406,OAK,35,10:23:00,NP,NP,0,7,0,66.0,26.0,45,3.82,D,C,C,C,C,returner_tackled,OAK 58,OAK 55,8-0-2,OAK 29; OAK 31
128,2018091001,1129,M.Nugent kicks 70 yards from OAK 35 to LA -5. P.Cooper ran ob at LA 19 for 24 yards (M.Gilchrist).,2,OAK,29874.0,43406,OAK,35,12:31:00,NP,NP,0,10,7,70.0,24.0,75,3.81,D,C,C,R,R,returner_tackled,Solo,OAK 31,8-0-2,OAK 29
131,2018091001,2216,M.Nugent kicks 60 yards from OAK 35 to LA 5. P.Cooper to LA 30 for 25 yards (M.Gilchrist).,3,OAK,29874.0,43406,OAK,35,15:00:00,NP,NP,0,13,10,60.0,25.0,45,3.94,D,C,C,C,C,OAK 42,Solo,OAK 31,8-0-2,OAK 29; OAK 31
138,2018091300,565,R.Bullock kicks 68 yards from CIN 35 to BAL -3. J.Grant pushed ob at BAL 29 for 32 yards (D.Dennard).,1,CIN,38691.0,46532,CIN,35,10:35:00,NP,NP,0,7,0,68.0,32.0,75,3.99,D,C,C,C,R,returner_tackled,Solo,CIN 21,8-0-2,CIN 21; CIN 36
141,2018091300,1748,J.Tucker kicks 68 yards from BAL 35 to CIN -3. A.Erickson to CIN 22 for 25 yards (T.Bowser).,2,BAL,39470.0,43663,BAL,35,08:20:00,NP,NP,0,21,7,68.0,25.0,75,4.23,D,C,C,C,C,returner_tackled,Solo,BAL 54,8-0-2,BAL 10; BAL 37
145,2018091300,3100,J.Tucker kicks 61 yards from BAL 35 to CIN 4. A.Erickson to CIN 24 for 20 yards (T.Williams; C.Board). BAL-C.Clark was injured during the play.,3,BAL,39470.0,43663,BAL,35,12:30:00,NP,NP,0,28,17,61.0,20.0,45,4.39,D,R,R,L,L,returner_tackled,Solo,BAL 56,8-0-2,BAL 37; BAL 41
151,2018091600,1891,M.Bosher kicks 73 yards from ATL 35 to CAR -8. D.Moore to CAR 18 for 26 yards (J.Bethel).,2,ATL,37267.0,46093,ATL,35,00:22:00,NP,NP,0,17,10,73.0,26.0,75,3.87,D,C,C,L,L,returner_tackled,ATL 54,ATL 28,8-0-2,ATL 23
152,2018091600,1954,G.Gano kicks 66 yards from CAR 35 to ATL -1. C.Ridley to ATL 31 for 32 yards (M.Haynes; R.Gaulden).,3,CAR,35102.0,46095,CAR,35,15:00:00,NP,NP,0,17,10,66.0,32.0,45,4.22,D,C,C,L,L,returner_tackled,CAR 28,CAR 98,8-0-2,CAR 31; CAR 35
158,2018091601,335,"C.Sturgis kicks 62 yards from LAC 35 to BUF 3. M.Murphy to BUF 25 for 22 yards (B.Facyson, A.Phillips).",1,LAC,40114.0,42573,LAC,35,09:26:00,NP,NP,0,0,7,62.0,22.0,75,4.06,D,C,C,C,C,returner_tackled,LAC 31,LAC 36,8-0-2,LAC 31; LAC 43
164,2018091601,2095,C.Sturgis kicks 66 yards from LAC 35 to BUF -1. M.Murphy to BUF 25 for 26 yards (A.Phillips).,3,LAC,40114.0,42573,LAC,35,15:00:00,NP,NP,0,6,28,66.0,26.0,45,3.23,D,C,C,C,C,returner_tackled,Solo,LAC 31,8-0-2,LAC 31; LAC 43
169,2018091602,404,M.Crosby kicks 68 yards from GB 35 to MIN -3. M.Hughes to MIN 43 for 46 yards (J.Jackson).,1,GB,32386.0,46099,GB,35,07:28:00,NP,NP,0,7,0,68.0,46.0,75,3.8,D,C,C,C,C,returner_tackled,Solo,GB 37,8-0-2,GB 23
176,2018091602,3158,D.Carlson kicks 42 yards from MIN 35 to GB 23. L.Patrick to GB 31 for 8 yards (E.Wilson; H.Hill).,4,MIN,46236.0,44068,MIN,35,07:18:00,NP,NP,0,23,21,42.0,8.0,45,3.17,P,R,C,C,C,returner_tackled,MIN 50,MIN 24,8-0-2,MIN 21
180,2018091602,4130,M.Crosby kicks 63 yards from GB 35 to MIN 2. H.Hill to MIN 30 for 28 yards (J.Alexander).,5,GB,32386.0,46466,GB,35,10:00:00,NP,NP,0,29,29,63.0,28.0,45,4.04,D,R,R,C,C,returner_tackled,Solo,GB 23,8-0-2,GB 23; GB 37
181,2018091603,37,W.Lutz kicks 60 yards from NO 35 to CLE 5. J.Peppers to CLE 32 for 27 yards (M.Williams).,1,NO,43689.0,44837,NO,35,15:00:00,NP,NP,0,0,0,60.0,27.0,45,4.11,D,C,C,C,C,returner_tackled,NO 26,NO 43,8-0-1,NO 21; NO 43
183,2018091603,774,W.Lutz kicks 72 yards from NO 35 to CLE -7. J.Peppers to CLE 20 for 27 yards (K.Coleman).,1,NO,43689.0,44837,NO,35,02:47:00,NP,NP,0,3,3,72.0,27.0,45,3.97,D,C,C,R,R,returner_tackled,Solo,NO 29,8-0-1,NO 21; NO 43
186,2018091603,2497,Z.Gonzalez kicks 72 yards from CLE 35 to NO -7. T.Hill to NO 40 for 47 yards (D.Kindred).,3,CLE,45037.0,45244,CLE,35,06:43:00,NP,NP,0,3,12,72.0,47.0,45,4.05,D,C,C,R,R,CLE 20,Solo,CLE 26,8-0-2,CLE 26; CLE 28
187,2018091603,3220,W.Lutz kicks 68 yards from NO 35 to CLE -3. J.Peppers to CLE 25 for 28 yards (M.Gillislee).,4,NO,43689.0,44837,NO,35,08:41:00,NP,NP,0,10,12,68.0,28.0,45,4.23,D,C,C,C,C,NO 26,Solo,NO 25,8-0-1,NO 21; NO 43
196,2018091604,2280,J.Myers kicks 70 yards from NYJ 35 to MIA -5. J.Grant ran ob at MIA 29 for 34 yards.,3,NYJ,41175.0,43475,NYJ,35,11:51:00,NP,NP,0,6,20,70.0,34.0,45,3.93,D,C,C,R,R,returner_tackled,Solo,NYJ 23,8-0-2,NYJ 27; NYJ 41
199,2018091605,36,H.Butker kicks 57 yards from KC 35 to PIT 8. R.Switzer to PIT 21 for 13 yards (A.Watts).,1,KC,45046.0,44946,KC,35,15:00:00,NP,NP,0,0,0,57.0,13.0,75,4.31,D,C,C,C,C,returner_tackled,Solo,KC 25,8-0-2,KC 13; KC 84
201,2018091605,562,"H.Butker kicks 68 yards from KC 35 to PIT -3. R.Switzer to PIT 21 for 24 yards (D.Thomas). PENALTY on PIT-J.Dangerfield, Illegal Block Above the Waist, 10 yards, enforced at PIT 21.",1,KC,45046.0,44946,KC,35,09:08:00,IBW,PIT 37,10,0,14,68.0,24.0,75,4.26,D,C,C,R,R,KC 24,Solo,KC 13,8-0-2,KC 13; KC 39
202,2018091605,1047,H.Butker kicks 61 yards from KC 35 to PIT 4. R.Switzer pushed ob at PIT 19 for 15 yards (Tr. Smith).,1,KC,45046.0,44946,KC,35,02:24:00,NP,NP,0,0,21,61.0,15.0,75,4.28,D,R,R,L,L,returner_tackled,Solo,KC 39,8-0-2,KC 13; KC 42
211,2018091605,3810,D.Colquitt kicks 60 yards from KC 25 to PIT 15. R.Switzer to PIT 30 for 15 yards (D.Thomas).,4,KC,29926.0,44946,KC,25,11:54:00,NP,NP,0,30,42,60.0,15.0,35,4.34,K,L,L,R,R,returner_tackled,Solo,KC 19,8-0-1,KC 13; KC 39
221,2018091606,3789,J.Elliott kicks 63 yards from PHI 35 to TB 2. A.Humphries to TB 15 for 13 yards (D.Alexander).,4,PHI,44966.0,43010,PHI,35,02:46:00,NP,NP,0,27,21,63.0,13.0,75,3.96,D,C,C,C,C,returner_tackled,Solo,PHI 57,6-0-3,PHI 23; PHI 27
234,2018091608,2296,"R.Sanchez kicks 63 yards from IND 35 to WAS 2. G.Stroman pushed ob at WAS 18 for 16 yards (C.Geathers). PENALTY on WAS-J.Chesson, Offensive Holding, 10 yards, enforced at WAS 19.",3,IND,45153.0,46310,IND,35,15:00:00,OH,WAS 16,10,3,14,63.0,16.0,45,4.22,D,C,C,R,R,NT,NT,NT,8-0-1,IND 23; IND 26
235,2018091608,2795,D.Hopkins kicks 60 yards from WAS 35 to IND 5. Z.Pascal to IND 24 for 19 yards (J.Harvey-Clemons).,3,WAS,40125.0,45102,WAS,35,05:40:00,NP,NP,0,6,14,60.0,19.0,75,4.28,D,C,C,C,C,returner_tackled,Solo,WAS 40,8-0-2,WAS 35; WAS 37
238,2018091609,54,P.Dawson kicks 67 yards from ARI 35 to LA -2. J.Natson to LA 20 for 22 yards (E.Turner).,1,ARI,23860.0,45150,ARI,35,15:00:00,NP,NP,0,0,0,67.0,22.0,45,4.01,D,L,L,C,R,returner_tackled,Solo,ARI 47,8-0-2,ARI 26; ARI 39
242,2018091609,2527,"J.Hekker kicks 62 yards from LA 35 to ARI 3. T.Logan to ARI 18 for 15 yards (J.Davis, M.Kiser).",3,LA,38815.0,44992,LA,35,03:39:00,NP,NP,0,27,0,62.0,15.0,75,3.5,D,C,C,C,C,returner_tackled,LA 59,LA 33,8-0-2,LA 27; LA 37
243,2018091609,3392,J.Hekker kicks 64 yards from LA 35 to ARI 1. T.Logan to ARI 20 for 19 yards (I.Johnson).,4,LA,38815.0,44992,LA,35,03:17:00,NP,NP,0,34,0,64.0,19.0,45,3.79,D,L,L,R,R,returner_tackled,Solo,LA 27,8-0-2,LA 27; LA 37
244,2018091610,36,B.Pinion kicks 65 yards from SF 35 to DET 0. J.Agnew to DET 24 for 24 yards (M.Nzeocha).,1,SF,42508.0,44978,SF,35,15:00:00,NP,NP,0,0,0,65.0,24.0,75,4.23,D,C,C,L,L,returner_tackled,Solo,SF 53,8-0-2,SF 26; SF 29
245,2018091610,492,B.Pinion kicks 58 yards from SF 35 to DET 7. J.Agnew to DET 31 for 24 yards (T.Moore).,1,SF,42508.0,44978,SF,35,06:18:00,NP,NP,0,3,0,58.0,24.0,75,3.95,D,C,C,L,L,returner_tackled,Solo,SF 33,8-0-2,SF 23; SF 26
246,2018091610,714,"S.Martin kicks 65 yards from DET 35 to SF 0. D.Reed to SF 24 for 24 yards (N.Bellore). PENALTY on SF-M.Nzeocha, Illegal Block Above the Waist, 10 yards, enforced at SF 22.",1,DET,40113.0,46211,DET,35,02:45:00,IBW,SF 53,10,3,7,65.0,22.0,45,4.01,D,C,C,C,C,NT,NT,NT,8-0-2,DET 24; DET 31
249,2018091610,2277,M.Prater kicks 40 yards from DET 35 to SF 25. T.Taylor to SF 40 for 15 yards (Ch.Washington).,2,DET,31446.0,44990,DET,35,00:03:00,NP,NP,0,13,10,40.0,15.0,75,0.0,Q,C,C,C,C,returner_tackled,DET 45,DET 43,8-0-1,DET 24; DET 31
250,2018091610,2325,"S.Martin kicks 66 yards from DET 35 to SF -1. D.Reed for 101 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on SF-D.Reed, Face Mask (15 Yards), 15 yards, enforced at DET 11.",3,DET,40113.0,46211,DET,35,15:00:00,FMM,SF 32,15,13,10,66.0,90.0,45,4.11,D,C,C,R,R,DET 06,NT,NT,8-0-1,DET 24; DET 31
251,2018091610,2467,B.Pinion kicks 62 yards from SF 35 to DET 3. J.Agnew to DET 48 for 45 yards (R.Mostert).,3,SF,42508.0,44978,SF,35,13:17:00,NP,NP,0,20,10,62.0,45.0,75,4.41,D,L,L,R,R,SF 23,Solo,SF 31,8-0-2,SF 23; SF 26
252,2018091610,2723,S.Martin kicks 65 yards from DET 35 to SF 0. D.Reed to SF 22 for 22 yards (D.Virgin).,3,DET,40113.0,46211,DET,35,08:46:00,NP,NP,0,20,13,65.0,22.0,45,3.84,D,C,C,C,C,returner_tackled,Solo,DET 30,8-0-1,DET 24; DET 31
253,2018091610,3242,B.Pinion kicks 70 yards from SF 35 to DET -5. J.Agnew to DET 21 for 26 yards (T.Garvin; A.Exum).,3,SF,42508.0,44978,SF,35,00:52:00,NP,NP,0,27,13,70.0,26.0,75,4.25,D,C,C,C,C,returner_tackled,SF 38,SF 57,8-0-2,SF 23; SF 26
254,2018091610,3553,B.Pinion kicks 70 yards from SF 35 to DET -5. J.Agnew to DET 20 for 25 yards (R.Mostert).,4,SF,42508.0,44978,SF,35,11:21:00,NP,NP,0,30,13,70.0,25.0,45,4.1,D,C,C,R,R,returner_tackled,Solo,SF 31,8-0-2,SF 23
256,2018091610,4310,S.Martin kicks 68 yards from DET 35 to SF -3. D.Reed to SF 22 for 25 yards (J.Reeves-Maybin).,4,DET,40113.0,46211,DET,35,03:27:00,NP,NP,0,30,27,68.0,25.0,75,3.65,D,C,C,R,R,returner_tackled,Solo,DET 44,8-0-1,DET 24; DET 31
271,2018091612,1952,J.Lambo kicks 49 yards from JAX 35 to NE 16. S.Michel to NE 38 for 22 yards (T.Herndon).,2,JAX,43068.0,46100,JAX,35,00:09:00,NP,NP,0,21,3,49.0,22.0,75,0.0,Q,C,C,L,L,returner_tackled,Solo,JAX 41,8-0-2,JAX 26; JAX 36
